ticker,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BANKBARODA,BHARTIARTL,CANBK,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,LTIM,M&M,MARUTI,NESTLEIND,NTPC,ONGC,PNB,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,WIPRO
DIVISLAB,0.20850860151415498,0.22768871332439877,0.2089204139181627,0.2010100853872483,0.1920368837392331,0.22211724564595361,0.17578577208349877,0.1924097012057551,0.18106946798936832,0.1734163190784752,0.21927658154638954,0.33808615950059917,0.13969876729138045,1.0,0.3210376462945469,0.18286977220496894,0.2364416837758548,0.2065935671590201,0.18095886870455571,0.19837039939963347,0.1846086845227265,0.23486953814826153,0.1605514661581406,0.22289321101972998,0.16848534712857463,0.18269383020546867,0.1510385709259543,0.25088823310439606,0.19448584049860942,0.22036266058172296,0.20658098020781038,0.20487728040379058,0.19055445898733947,0.12985928197983318,0.19358827158838102,0.15542426838836265,0.18652762074290216,0.1637921517273706,0.21252000053198275,0.17581166069306406,0.21169751244192617,0.17293422090738605,0.28666996072094103,0.1815057984812946,0.24388919200024659,0.17965336276265273,0.22729049672555457,0.17731069921705844,0.23359806003884698,0.19986953819073788
DRREDDY,0.14880568133602218,0.16420928352661476,0.2061991896911374,0.15553850864361568,0.15987732306856803,0.19354168874711716,0.13017964359151793,0.13240427397996626,0.12455883054688328,0.13764393284404602,0.14043389283173877,0.36249862372114594,0.1546929397589234,0.3210376462945469,1.0,0.12002120540381943,0.2143835829855747,0.1787580932850398,0.15908675710035466,0.19149450653921818,0.1651845428301942,0.20068140335880305,0.19870608139116783,0.17063389567100803,0.14376889139799,0.17096802521412302,0.1512577747319253,0.2030643014072735,0.1639744997932834,0.17959558873762424,0.15607100854967224,0.18963697639618093,0.14267584386191698,0.11912273268444173,0.15468680423980435,0.16095317166730755,0.12625660043462097,0.13798866810868635,0.21268640428350405,0.1646304405747035,0.15555613698998555,0.12639437281788043,0.34612221079368566,0.17400234967191822,0.19319510179567742,0.1607519554473762,0.18878172761068832,0.11772356950574638,0.18564519773358623,0.20635634700347338
EICHERMOT,0.23120871159461207,0.2481400570840397,0.18796367956454102,0.282052080024197,0.3096128853653611,0.32952242817861105,0.29919848562858736,0.33681108563213447,0.2668187015595614,0.20306136895465923,0.2682394305947605,0.14535111277219617,0.20467246272546416,0.18286977220496894,0.12002120540381943,1.0,0.3001874891687513,0.14351873918841143,0.3039497253457039,0.2898642223455796,0.30386671306148155,0.26725817204686314,0.18606156544368854,0.31143431330973764,0.295648001597202,0.12644574997101182,0.19340959981787645,0.28912367052794374,0.28903225160726725,0.3215348094526354,0.176177203632628,0.35944717215385596,0.3810552163354101,0.12545611417000324,0.22398371601142844,0.18257142962582915,0.24576325226632648,0.17809533784856102,0.2781490936910455,0.29195186869123235,0.29776904587334413,0.2780323775120211,0.16192639999188993,0.30780370731294415,0.2968407417053127,0.13314656281916656,0.15512414425993,0.26733954238209023,0.2986312267771111,0.14719397293730818
GRASIM,0.33661165815993244,0.34482734114149594,0.20738034035836642,0.32573803311017796,0.4163202427829569,0.3235711018093326,0.3417327601602428,0.35464473154021187,0.36285897105544185,0.31008802229064497,0.3894263460739462,0.24498654692366353,0.28529018111465987,0.2364416837758548,0.2143835829855747,0.3001874891687513,1.0,0.18766343671497293,0.39298852047306393,0.36781520310678056,0.31545415598855775,0.4038147838447917,0.21471266894707353,0.40297369821868906,0.362403427460371,0.17308499852717305,0.2681292560603406,0.4277215308659747,0.3499550116245975,0.42616987275895446,0.23341154991680874,0.37793482481308066,0.37567243999198563,0.1494537327590642,0.3238843029767838,0.287181196551123,0.3317024040313586,0.2945429073796326,0.3447926208866205,0.34126012588865395,0.41678064663739045,0.33432888423750917,0.2789051646529405,0.3595714285247961,0.43322429940325674,0.18880471753281391,0.2393108006354092,0.296872434226174,0.5604258877710421,0.21832172684499215
HCLTECH,0.1596683235013266,0.18901231571471694,0.16263957600991974,0.16496768635540654,0.19845107180511048,0.1972345177807517,0.17553326846907527,0.14966405278393452,0.13525693153505602,0.15332491419135544,0.1415840926077126,0.15118074249229269,0.15063787110433197,0.2065935671590201,0.1787580932850398,0.14351873918841143,0.18766343671497293,1.0,0.22695113681050186,0.2451776724754319,0.17954291255451849,0.2525993838548144,0.18786776119036816,0.21660988344831314,0.17162266405058452,0.5395942998989135,0.17625021918949227,0.24970264291756164,0.20103811125564494,0.22320897601610645,0.4902472507973857,0.22685216285479856,0.18440404189250492,0.15003163627387506,0.16556035415277354,0.16538064680400766,0.13164986889531297,0.15269287763820868,0.26487903368634375,0.2176714416647312,0.16649088817116062,0.1597297118053944,0.17269515738787483,0.23779897791121743,0.23938288906173683,0.554553121172499,0.47844226839653226,0.1687335678353359,0.19011920084626138,0.5046889122557369
HDFCBANK,0.293833262240696,0.33642922259675107,0.20379055702928475,0.30558098143189005,0.516973008494114,0.3364927042204368,0.3701630416071683,0.4071254768005318,0.33605128573377707,0.27937348641840226,0.3721072934894367,0.17675154371013752,0.22617462845135972,0.18095886870455571,0.15908675710035466,0.3039497253457039,0.39298852047306393,0.22695113681050186,1.0,0.39335570782127616,0.31532784345677506,0.3692787082448679,0.24396754595373926,0.5428305635103078,0.4657145413612346,0.24660837585202933,0.2964885216500702,0.3936263840949467,0.5657233901603395,0.4851906337390898,0.2000718747464441,0.40017577825366973,0.3811631116150448,0.13854524801825693,0.2842652472239899,0.24496278908178082,0.3103476185358439,0.2688150425421683,0.41356439694905056,0.3274830246365049,0.4433031405315039,0.3692696908138616,0.20620001290025508,0.3401513254996213,0.3698327419314039,0.23969256039180858,0.22858532808159165,0.31757402855561645,0.3743885886427075,0.23151765810545702
HDFCLIFE,0.30169930527107264,0.3273259124753955,0.24878640155301548,0.29178098955806103,0.34665002758415353,0.28506998502739345,0.37230126095434507,0.3574488310496651,0.29050166834982266,0.2704581432169706,0.3314700180726212,0.14571835072960637,0.17377764022441097,0.19837039939963347,0.19149450653921818,0.2898642223455796,0.36781520310678056,0.2451776724754319,0.39335570782127616,1.0,0.3316526186670262,0.3020651655577225,0.29825356666692,0.35376198181792495,0.317568694238001,0.2449575487712942,0.22630354703171787,0.3238101243025195,0.3499431743914104,0.3687134139472117,0.20478547906786737,0.29404940553378023,0.34499347516604795,0.28743316080109194,0.2612001541116656,0.1974488780018728,0.2594026324177522,0.1792896329179999,0.3429049631117112,0.5456678671792204,0.3236922264795282,0.3157023440009684,0.24314065011806485,0.2822343486350847,0.3019295627729578,0.21836518808777083,0.252818958080233,0.30124194361141454,0.361531920485173,0.22706218097378716
HEROMOTOCO,0.2310989936664142,0.26318521935025063,0.18417158321580673,0.27155148181704725,0.2917779092463325,0.4992602081642755,0.2570159862766082,0.26417836459349536,0.25929749293841464,0.23105159058228905,0.2886488018491222,0.19380259651455525,0.20430033703024447,0.1846086845227265,0.1651845428301942,0.30386671306148155,0.31545415598855775,0.17954291255451849,0.31532784345677506,0.3316526186670262,1.0,0.29658701023466655,0.22063412219463827,0.3003840413521009,0.29800086366054346,0.1683388216048369,0.20593268898885114,0.292384225485407,0.29689485559342627,0.3391355376160143,0.2068380444829508,0.3804627142357417,0.4308156045642185,0.14392129433366666,0.2320930291439377,0.2186368886411622,0.25474624017602576,0.22631459473821147,0.28463790440760856,0.2785421981257865,0.2859479336743789,0.27920294283347025,0.17739509239256757,0.31801235270649136,0.28874047588413093,0.19106754967797365,0.17624744559718222,0.2593516780441962,0.31971778856062827,0.18901363432648222
HINDALCO,0.33094623566303744,0.3597850433302183,0.21578766689113038,0.21706809463186325,0.394761393421539,0.310774135736048,0.3309380334632059,0.31124670344266897,0.36164260417075395,0.28454924092092754,0.39310637006689203,0.23246829229945143,0.36722721795585206,0.23486953814826153,0.20068140335880305,0.26725817204686314,0.4038147838447917,0.2525993838548144,0.3692787082448679,0.3020651655577225,0.29658701023466655,1.0,0.1711443242751345,0.42710994784740114,0.3372055757306456,0.22633396035874118,0.22914683316332646,0.5931845745508945,0.3231157835826222,0.4408535480095913,0.2263896964742116,0.3516950565569974,0.34641897237705743,0.13470536659153723,0.3413660720458924,0.38483495838152393,0.34853973743536454,0.2839234411526182,0.3969205801959491,0.3184171782682016,0.4380832468954813,0.3057069808210916,0.2416561836423967,0.4255424556633172,0.6749374249035935,0.2250169761126527,0.23343307186159595,0.28625549055175553,0.3766608648358338,0.25576280294640336
HINDUNILVR,0.15085451573472794,0.17074963193554726,0.15906534052999555,0.30500480522589013,0.20348164010955705,0.218235301272769,0.17564094438143363,0.20893345279489042,0.09422326515970196,0.16211031690029348,0.12082218895342658,0.16518665421325018,0.098991811002468,0.1605514661581406,0.19870608139116783,0.18606156544368854,0.21471266894707353,0.18786776119036816,0.24396754595373926,0.29825356666692,0.22063412219463827,0.1711443242751345,1.0,0.2048273014805007,0.21270884780495808,0.17537404865258957,0.27727977326683473,0.17270726674480924,0.25647779577158514,0.2012564904547996,0.16681358437943483,0.2107103331181468,0.24897343553184312,0.2713320139028756,0.1477379558782473,0.123480077930498,0.10915625297112772,0.13204969866969785,0.23500653235692198,0.26401915737510057,0.1553509163469898,0.145055882061784,0.1637479777315218,0.15982054783378213,0.1599266084120463,0.194307545765219,0.16392911247966213,0.20752514105395659,0.23842472955423716,0.17552848129499804
ICICIBANK,0.3381068530538341,0.37271078600280616,0.21745945454401563,0.284677119465695,0.6738637889355943,0.3158505705299006,0.37456770793194905,0.40683090192532606,0.5049347401004706,0.30670591292466354,0.5401488979327106,0.20847475877794328,0.25364729534259345,0.22289321101972998,0.17063389567100803,0.31143431330973764,0.40297369821868906,0.21660988344831314,0.5428305635103078,0.35376198181792495,0.3003840413521009,0.42710994784740114,0.2048273014805007,1.0,0.46842565221057814,0.22804931848274748,0.28673059083770813,0.44774213044479716,0.48077513890068907,0.5284788743942759,0.16745068915851355,0.40361394920942256,0.3962965016327752,0.14078360972122814,0.32879688108049615,0.31707397955359196,0.47760514566597895,0.29887834301798566,0.4064031654645942,0.3532350606155163,0.6435407338263436,0.3990473566604352,0.21806843075483745,0.40620230735602747,0.45422918775676835,0.21037658602095405,0.2271633184783524,0.32449736018172587,0.4126738179825294,0.22233146537697926
INDUSINDBK,0.2888033965231886,0.30691234786722693,0.17835555793844432,0.2666089290186912,0.5033591702239933,0.30315891729306643,0.36928966319325846,0.38738800095265663,0.35853942240439757,0.2533616010491082,0.40392129502575597,0.1777401227338962,0.23169683649601794,0.16848534712857463,0.14376889139799,0.295648001597202,0.362403427460371,0.17162266405058452,0.4657145413612346,0.317568694238001,0.29800086366054346,0.3372055757306456,0.21270884780495808,0.46842565221057814,1.0,0.18763934861451514,0.21609109893417233,0.3616171368977377,0.41974326535058176,0.41893876635687766,0.15970492787655052,0.3667152422562948,0.34056939060171065,0.13814008962806773,0.26426786823864373,0.23980688603457143,0.35769691315781604,0.2558155371690057,0.30978372210237326,0.3239896763821399,0.43222738520001003,0.38267116399593104,0.17427174684086993,0.3311871000493572,0.3507986919876946,0.17353653158940047,0.178559747599871,0.2902527613565879,0.3333048571822573,0.18221144062659841
INFY,0.14579476640497394,0.16909212968926188,0.1522722148940593,0.15992620252808445,0.207571378426392,0.16903089727298182,0.1773443525610412,0.17723099775843576,0.12069702489726976,0.1729328678097223,0.1339044324675962,0.14565029429466098,0.09742281278082017,0.18269383020546867,0.17096802521412302,0.12644574997101182,0.17308499852717305,0.5395942998989135,0.24660837585202933,0.2449575487712942,0.1683388216048369,0.22633396035874118,0.17537404865258957,0.22804931848274748,0.18763934861451514,1.0,0.14661252798938737,0.21580802611507935,0.20214228619737776,0.23705787154839988,0.5013364574632709,0.20595086016345776,0.1630879616186844,0.13338703502892812,0.14488067619289946,0.13848791370567948,0.11974422573893073,0.12082909559961222,0.2347346081577847,0.2034799170269984,0.16514520311505912,0.15081721419959357,0.16522094477324054,0.21761891123474644,0.22058125654654043,0.5770027468239446,0.4721358316347034,0.17063474534552892,0.18678603228459312,0.5177104652579207
ITC,0.18400582106947236,0.22248334160673214,0.14475638032734098,0.21296053521096928,0.2496612225164278,0.2208457800741889,0.21839568651005056,0.22554842972952505,0.2263122444795285,0.21937827040383318,0.24455267739092282,0.1647412928000904,0.21000040967373151,0.1510385709259543,0.1512577747319253,0.19340959981787645,0.2681292560603406,0.17625021918949227,0.2964885216500702,0.22630354703171787,0.20593268898885114,0.22914683316332646,0.27727977326683473,0.28673059083770813,0.21609109893417233,0.14661252798938737,1.0,0.25645170989714594,0.27134203346682984,0.2733149831692061,0.14942713351393888,0.26709368786219195,0.22290939452914085,0.13633613156752417,0.22284748377512972,0.22639832675731744,0.2318732029710606,0.2184736259114948,0.2463271197375084,0.237281130194066,0.2751708710591334,0.19181101061774117,0.19355493397346127,0.2531652332505451,0.25373334024175914,0.1934415158232765,0.14971683751314518,0.2359746212581818,0.2517963840881428,0.17671533880047452
JSWSTEEL,0.3605386659293913,0.37223547058339346,0.20386145927894492,0.2680718584093304,0.42734128606935845,0.31020879323508965,0.34898872903051187,0.3377329166108187,0.38135172261166594,0.2933714835643976,0.41195653766358264,0.22528346816328013,0.3328728888499074,0.25088823310439606,0.2030643014072735,0.28912367052794374,0.4277215308659747,0.24970264291756164,0.3936263840949467,0.3238101243025195,0.292384225485407,0.5931845745508945,0.17270726674480924,0.44774213044479716,0.3616171368977377,0.21580802611507935,0.25645170989714594,1.0,0.37933635438843283,0.44223353874333277,0.22445178865224055,0.3923250867153079,0.35474149691310614,0.13244707405303666,0.3417617108756843,0.33885698922264074,0.3626437298904256,0.29099594552286157,0.395613657491605,0.3379656023169844,0.43132050882958767,0.31806308597478017,0.24503778081216007,0.41830523391075786,0.6906771768931907,0.21355804453284946,0.24529824758171992,0.3191920594588265,0.3926841394043172,0.2392508950360838
KOTAKBANK,0.28639245978144334,0.31981657627921006,0.20319591646491764,0.29230629427342975,0.4658308087200626,0.30773449520081814,0.3571688914679634,0.4059250132519961,0.33141800164707597,0.24835995639800504,0.35232182391597233,0.203032569911907,0.20567186734605838,0.19448584049860942,0.1639744997932834,0.28903225160726725,0.3499550116245975,0.20103811125564494,0.5657233901603395,0.3499431743914104,0.29689485559342627,0.3231157835826222,0.25647779577158514,0.48077513890068907,0.41974326535058176,0.20214228619737776,0.27134203346682984,0.37933635438843283,1.0,0.4414787478462712,0.17406288135833306,0.3711931394610438,0.35338360774564703,0.14545903000189322,0.2824468432409516,0.24376867160831497,0.30649584631343085,0.2611656662069642,0.38320476315590096,0.3101475079546988,0.40523852543685873,0.33308962851941665,0.21029078876107207,0.3054416564129738,0.32863251728448506,0.2012961209179937,0.21067679357316796,0.28655965721824617,0.35421475328059726,0.20388400418718122
LT,0.36445905824081964,0.40022464198079777,0.21576079642992163,0.31175750436024585,0.5214655844630669,0.33162213121275025,0.3560654841455928,0.3658907976427228,0.43169508212597246,0.29541799770842875,0.46101542768655224,0.2361974323734209,0.3086897763153702,0.22036266058172296,0.17959558873762424,0.3215348094526354,0.42616987275895446,0.22320897601610645,0.4851906337390898,0.3687134139472117,0.3391355376160143,0.4408535480095913,0.2012564904547996,0.5284788743942759,0.41893876635687766,0.23705787154839988,0.2733149831692061,0.44223353874333277,0.4414787478462712,1.0,0.26666382388031756,0.41158498240542724,0.40832546215182086,0.13359574200136828,0.3747242317187451,0.34732397529962444,0.41156577013150214,0.32238798290051457,0.3997766774470606,0.3654654042968503,0.5162767023433138,0.38210057156946176,0.21704105281663874,0.4084993573183339,0.4666419551675724,0.21359476479725292,0.24875686851983095,0.3156066352056962,0.4313195786459353,0.23684771730917487
LTIM,0.1693980379772046,0.20220983733193032,0.20765841417827843,0.21067313973097482,0.17486132745883315,0.18992205007322108,0.24562273464559367,0.21303640757689382,0.14999445427331404,0.17276091616025374,0.1788432202515864,0.16180875570677197,0.16099570789923212,0.20658098020781038,0.15607100854967224,0.176177203632628,0.23341154991680874,0.4902472507973857,0.2000718747464441,0.20478547906786737,0.2068380444829508,0.2263896964742116,0.16681358437943483,0.16745068915851355,0.15970492787655052,0.5013364574632709,0.14942713351393888,0.22445178865224055,0.17406288135833306,0.26666382388031756,1.0,0.22193623465774037,0.19163300459333044,0.20055967607062647,0.1753878793915634,0.15233227017571777,0.13747446048373355,0.12358926165376793,0.22283435122657846,0.2189374725658098,0.16459272679615836,0.15960121467015348,0.18218635724715743,0.21445118927843793,0.2295845402960193,0.4398681501483235,0.49597876842226996,0.20540280695174293,0.24183641858122154,0.41835024064727816
M&M,0.2905266212752742,0.2995087355227563,0.20249665711031892,0.2580948534350281,0.38389973194483856,0.3902516744396406,0.3389174004858897,0.34977066203150664,0.3091332219200129,0.265727734040837,0.33000251320031354,0.22659805175558417,0.24599925823976623,0.20487728040379058,0.18963697639618093,0.35944717215385596,0.37793482481308066,0.22685216285479856,0.40017577825366973,0.29404940553378023,0.3804627142357417,0.3516950565569974,0.2107103331181468,0.40361394920942256,0.3667152422562948,0.20595086016345776,0.26709368786219195,0.3923250867153079,0.3711931394610438,0.41158498240542724,0.22193623465774037,1.0,0.4453901471794593,0.13576164395638646,0.2800124401613969,0.265101957446291,0.29170985779404446,0.26162820906641454,0.34137493090146204,0.3152225123950236,0.3760488643459452,0.3340448767051008,0.22981839607455215,0.42361738812207134,0.36976759708379336,0.20623457240708135,0.21973224707196887,0.31131375249022886,0.36824210062227425,0.22826522292180726
