Date,Sector,Open,High,Low,Close,Volume
2023-01-27,NIFTY ENERGY,25262.0,25336.19921875,23948.849609375,24169.94921875,949900
2023-01-27,NIFTY FMCG,44483.5,44617.80078125,44111.1484375,44486.6484375,33700
2023-01-27,NIFTY IT,30052.69921875,30234.349609375,29542.44921875,29766.44921875,19800
2023-01-27,NIFTY METAL,6710.2998046875,6719.5498046875,6323.85009765625,6389.25,1422700
2023-01-27,NIFTY PHARMA,12476.7001953125,12616.7998046875,12447.849609375,12508.0498046875,23304300
2023-01-27,NIFTY PSU BANK,4048.699951171875,4050.60009765625,3775.199951171875,3821.050048828125,3538900
2023-01-27,NIFTY REALTY,413.54998779296875,415.8500061035156,401.79998779296875,407.54998779296875,131900
2023-01-30,NIFTY AUTO,13096.4501953125,13164.25,12959.650390625,13076.849609375,546900
2023-01-30,NIFTY BANK,39856.1484375,40789.55078125,39419.80078125,40387.44921875,369900
2023-01-30,NIFTY ENERGY,23711.44921875,24181.5,23144.849609375,23434.69921875,1434200
2023-01-30,NIFTY FMCG,44542.25,44548.3984375,43956.6015625,44220.3515625,28300
2023-01-30,NIFTY IT,29842.69921875,30224.5,29606.349609375,30094.849609375,21200
2023-01-30,NIFTY METAL,6426.4501953125,6531.10009765625,6221.14990234375,6371.64990234375,1194600
2023-01-30,NIFTY PHARMA,12531.9501953125,12586.7001953125,12443.25,12484.0,18137200
2023-01-30,NIFTY PSU BANK,3812.85009765625,3951.39990234375,3752.300048828125,3842.10009765625,4076400
2023-01-30,NIFTY REALTY,407.8500061035156,412.3999938964844,401.45001220703125,407.0,115900
2023-01-31,NIFTY AUTO,13160.7998046875,13355.9501953125,13099.400390625,13323.900390625,632300
2023-01-31,NIFTY BANK,40563.8515625,40811.6484375,40167.69921875,40655.05078125,289900
2023-01-31,NIFTY ENERGY,23497.94921875,23770.849609375,23305.05078125,23713.5,1577600
2023-01-31,NIFTY FMCG,44291.6484375,44626.3984375,43721.94921875,44456.8984375,35200
2023-01-31,NIFTY IT,30163.19921875,30172.75,29556.30078125,29740.349609375,29500
2023-01-31,NIFTY METAL,6426.5,6530.7998046875,6370.60009765625,6468.39990234375,1194500
2023-01-31,NIFTY PHARMA,12526.849609375,12549.7001953125,12335.25,12360.25,22941900
2023-01-31,NIFTY PSU BANK,3876.14990234375,4027.35009765625,3843.10009765625,4006.550048828125,3297200
2023-01-31,NIFTY REALTY,408.75,414.25,403.5,411.54998779296875,123100
2023-02-01,NIFTY AUTO,13397.75,13539.7998046875,12972.349609375,13206.849609375,592100
2023-02-01,NIFTY BANK,41115.0,42015.6484375,39490.5,40513.0,400100
2023-02-01,NIFTY ENERGY,24060.44921875,24064.150390625,23001.80078125,23402.75,1198700
2023-02-01,NIFTY FMCG,44699.44921875,45253.75,43550.1015625,44958.30078125,79400
2023-02-01,NIFTY IT,29885.94921875,30083.400390625,29659.0,30018.25,17600
2023-02-01,NIFTY METAL,6513.5498046875,6551.2001953125,6092.0,6177.0498046875,1583700
2023-02-01,NIFTY PHARMA,12397.7001953125,12473.4501953125,12252.849609375,12355.7998046875,20789400
2023-02-01,NIFTY PSU BANK,4054.699951171875,4059.699951171875,3628.050048828125,3778.89990234375,4403000
2023-02-01,NIFTY REALTY,414.75,419.70001220703125,402.29998779296875,407.70001220703125,155300
2023-02-02,NIFTY AUTO,13178.150390625,13275.5498046875,13091.150390625,13213.25,666700
2023-02-02,NIFTY BANK,39943.3515625,40757.6015625,39761.44921875,40669.30078125,348500
2023-02-02,NIFTY ENERGY,22994.05078125,23123.599609375,22785.25,22874.0,918700
2023-02-02,NIFTY FMCG,44989.3984375,46090.55078125,44915.8515625,45981.55078125,68000
2023-02-02,NIFTY IT,30124.900390625,30610.099609375,30107.099609375,30566.75,23900
2023-02-02,NIFTY METAL,6256.9501953125,6278.14990234375,5867.0498046875,5908.2001953125,1331400
2023-02-02,NIFTY PHARMA,12291.650390625,12362.0,12224.650390625,12306.2998046875,12328000
2023-02-02,NIFTY PSU BANK,3736.050048828125,3839.5,3658.800048828125,3772.64990234375,3317800
2023-02-02,NIFTY REALTY,406.6499938964844,411.1000061035156,401.3500061035156,409.25,119100
2023-02-03,NIFTY AUTO,13273.75,13396.9501953125,13167.650390625,13377.9501953125,545900
2023-02-03,NIFTY BANK,41019.3515625,41539.94921875,40609.75,41499.69921875,308800
2023-02-03,NIFTY ENERGY,22707.80078125,22707.80078125,22350.349609375,22638.400390625,837200
2023-02-03,NIFTY FMCG,46191.8984375,46229.3515625,45551.69921875,46037.19921875,37200
2023-02-03,NIFTY IT,30839.05078125,30849.599609375,30417.900390625,30597.650390625,20000
2023-02-03,NIFTY METAL,5899.85009765625,5937.85009765625,5580.25,5901.9501953125,1606500
2023-02-03,NIFTY PHARMA,12308.7001953125,12327.150390625,12086.849609375,12184.599609375,17575500
2023-02-03,NIFTY PSU BANK,3819.5,3901.699951171875,3694.300048828125,3888.60009765625,3551800
2023-02-03,NIFTY REALTY,411.0,412.70001220703125,401.20001220703125,405.8999938964844,141400
2023-02-06,NIFTY AUTO,13372.099609375,13398.2001953125,13221.7998046875,13360.150390625,394200
2023-02-06,NIFTY BANK,41530.1484375,41724.5,41261.19921875,41374.6484375,197800
2023-02-06,NIFTY ENERGY,22328.69921875,22501.150390625,22304.099609375,22478.05078125,721400
2023-02-06,NIFTY FMCG,46041.25,46374.8984375,45874.1015625,46293.6015625,39400
2023-02-06,NIFTY IT,30502.900390625,30534.69921875,30186.69921875,30411.099609375,14200
2023-02-06,NIFTY METAL,5882.5498046875,5882.5498046875,5751.14990234375,5772.39990234375,1121400
2023-02-06,NIFTY PHARMA,12150.650390625,12218.650390625,12086.7998046875,12193.099609375,21067600
2023-02-06,NIFTY PSU BANK,3933.050048828125,3943.85009765625,3860.449951171875,3898.199951171875,1994900
2023-02-06,NIFTY REALTY,405.8500061035156,408.54998779296875,403.45001220703125,408.0,81600
2023-02-07,NIFTY AUTO,13379.349609375,13391.0,13182.599609375,13226.0498046875,500900
2023-02-07,NIFTY BANK,41513.1015625,41630.75,41095.1015625,41490.94921875,171900
2023-02-07,NIFTY ENERGY,22391.69921875,22646.75,22314.099609375,22386.5,743600
2023-02-07,NIFTY FMCG,46396.25,46398.69921875,45538.5,45758.1015625,33900
2023-02-07,NIFTY IT,30429.75,30544.099609375,30250.75,30310.69921875,13700
2023-02-07,NIFTY METAL,5695.2998046875,5815.85009765625,5657.5498046875,5757.35009765625,1970900
2023-02-07,NIFTY PHARMA,12222.5498046875,12252.900390625,12121.9501953125,12191.400390625,16689800
2023-02-07,NIFTY PSU BANK,3909.75,3935.25,3861.199951171875,3890.25,1617200
2023-02-07,NIFTY REALTY,408.8500061035156,412.6000061035156,406.29998779296875,411.6000061035156,100400
2023-02-08,NIFTY AUTO,13246.650390625,13276.0,13132.849609375,13257.349609375,491500
2023-02-08,NIFTY BANK,41542.05078125,41791.94921875,41403.05078125,41537.6484375,136500
2023-02-08,NIFTY ENERGY,22440.599609375,22607.75,22414.099609375,22559.80078125,726700
2023-02-08,NIFTY FMCG,45795.6484375,45976.05078125,45604.6484375,45771.6015625,20300
2023-02-08,NIFTY IT,30415.599609375,30938.400390625,30415.599609375,30774.05078125,21900
2023-02-08,NIFTY METAL,5797.2998046875,5999.10009765625,5791.89990234375,5975.14990234375,1329400
2023-02-08,NIFTY PHARMA,12203.650390625,12373.849609375,12144.849609375,12357.2998046875,19299900
2023-02-08,NIFTY PSU BANK,3902.25,3932.449951171875,3869.64990234375,3906.949951171875,1603800
